opportunity_id,opportunity_number,opportunity_title,opportunity_status,agency_code,agency_name,top_level_agency_name,agency_contact_description,agency_email_address,category,category_explanation,funding_categories,funding_category_description,opportunity_assistance_listings,estimated_total_program_funding,award_ceiling,award_floor,expected_number_of_awards,funding_instruments,applicant_types,applicant_eligibility_description,is_cost_sharing,post_date,close_date,archive_date,forecasted_post_date,forecasted_close_date,forecasted_award_date,forecasted_project_start_date,fiscal_year,is_forecast,created_at,updated_at,url,additional_info_url,additional_info_url_description,summary_description

# Việt Nam - Quỹ Nafosted
he-cluster1-2025,HE-CL1-2025,Health Cluster Research Funding 2025,open,EU,Horizon Europe,European Commission,,,Health,Health research funding,Health,Biomedical;Public Health,,,"",,,"grant","research organizations","International research teams including EU partners",No,2025-01-15,2025-04-15,,,2025-01-15,2025-04-15,,,2025,False,2025-01-15,2025-01-15,https://ec.europa.eu/info/funding-tenders/opportunities/portal,,,"Funding for health-related research under Horizon Europe"
he-climate-2025,HE-CL5-2025,Climate and Energy Research Funding 2025,open,EU,Horizon Europe,European Commission,,,Environment,Climate and energy research,Energy;Climate,Green transition projects,,,"",,,"grant","research consortia","International consortia with EU participation",No,2025-02-01,2025-05-01,,,2025-02-01,2025-05-01,,,2025,False,2025-02-01,2025-02-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal,,,"Funding for climate and energy transition research"
he-msca-2025,HE-MSCA-2025,Marie Skłodowska-Curie Actions 2025,open,EU,Horizon Europe,European Commission,,,Mobility,Research mobility funding,All Fields,Research mobility and training,,,"",,,"grant","individual researchers","Researchers worldwide including Vietnam",No,2025-03-01,2025-09-01,,,2025-03-01,2025-09-01,,,2025,False,2025-03-01,2025-03-01,https://marie-sklodowska-curie-actions.ec.europa.eu,,,"Mobility and training grants for researchers"
he-erc-2025,HE-ERC-2025,European Research Council Grants 2025,open,EU,Horizon Europe,European Commission,,,Science,Frontier research funding,All Fields,High-impact research,,,"",,,"grant","individual researchers","Top researchers worldwide",No,2025-01-01,2025-10-01,,,2025-01-01,2025-10-01,,,2025,False,2025-01-01,2025-01-01,https://erc.europa.eu,,,"Frontier research funding by ERC"

# Nhật Bản - Japan Society for the Promotion of Science
jsps-kakenhi-2025,JSPS-KAKENHI-2025,KAKENHI Grant-in-Aid for Scientific Research 2025,open,JSPS,Japan Society for the Promotion of Science,Japan Government,,,Science,Competitive research funding,All Fields,Basic and applied research,,,"",,,"grant","researchers","Researchers affiliated with Japanese institutions",No,2024-09-01,2024-11-01,,,2024-09-01,2024-11-01,,,2025,False,2024-09-01,2024-09-01,https://www.jsps.go.jp,,,"Major competitive funding program in Japan"
jsps-postdoc-2025,JSPS-PD-2025,Postdoctoral Fellowship for Research in Japan,open,JSPS,Japan Society for the Promotion of Science,Japan Government,,,Mobility,Postdoctoral research fellowship,All Fields,International mobility,,,"",,,"grant","postdocs","Early-career researchers worldwide",No,2025-01-01,2025-05-01,,,2025-01-01,2025-05-01,,,2025,False,2025-01-01,2025-01-01,https://www.jsps.go.jp,,,"Postdoctoral fellowship in Japan"

# Hàn Quốc - National Research Foundation of Korea
nrf-basic-2025,NRF-BASIC-2025,Basic Research Program Korea 2025,open,NRF,National Research Foundation of Korea,Korean Government,,,Science,Basic research funding,All Fields,Academic research,,,"",,,"grant","universities","Researchers in Korean institutions",No,2025-01-15,2025-03-15,,,2025-01-15,2025-03-15,,,2025,False,2025-01-15,2025-01-15,https://www.nrf.re.kr,,,"Basic research funding program in Korea"
nrf-global-2025,NRF-GLOBAL-2025,Global Research Collaboration Program 2025,open,NRF,National Research Foundation of Korea,Korean Government,,,International,International collaboration funding,All Fields,Global collaboration projects,,,"",,,"grant","research teams","International collaborative research teams",No,2025-02-01,2025-04-01,,,2025-02-01,2025-04-01,,,2025,False,2025-02-01,2025-02-01,https://www.nrf.re.kr,,,"Funding for global research collaboration"
