_key,acronym,name,location,city,country,country_code,continent,deadline,start_date,topics,url,cfp_text,crawl_source,hash,status
NEU112026_2026-06-01,NEU112026,Tác động của AI đến giảng dạy, nghiên cứu khoa học và quản trị đại học,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-06-01,"ai,education,edtech",https://neu.edu.vn,,neu,b2e4f5a6b7c8d9e0f1a2b3c4d5e9012,pending
NEU122026_2026-07-01,NEU122026,UWE–NEU 15th Anniversary Conference: Global Innovation, Digital Futures and Sustainability,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-07-01,"innovation,sustainability,digital",https://neu.edu.vn,,neu,c3f5a6b7c8d9e0f1a2b3c4d5e6f0123,pending
NEU132026_2026-07-01,NEU132026,International Conference on Management, Business, Economics, Law, and Technology (COMBELT 2026),"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-07-01,"business,economics,technology",https://neu.edu.vn,,neu,d4a6b7c8d9e0f1a2b3c4d5e6f7a1234,pending
NEU142026_2026-07-01,NEU142026,Quản trị Nhân lực số và Phát triển bền vững,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-07-01,"hr,digital,sustainability",https://neu.edu.vn,,neu,e5b7c8d9e0f1a2b3c4d5e6f7a8b2345,pending
NEU152026_2026-07-01,NEU152026,Xu thế đào tạo liên ngành, xuyên ngành đối với Trường Kinh doanh,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-07-01,"education,interdisciplinary,business",https://neu.edu.vn,,neu,f6c8d9e0f1a2b3c4d5e6f7a8b9c3456,pending
NEU162026_2026-08-01,NEU162026,Giải phóng sức sản xuất, khơi thông và sử dụng hiệu quả các nguồn lực cho tăng trưởng: Từ quyết sách đến hành động thực tiễn,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"economic,productivity,policy",https://neu.edu.vn,,neu,16a1b2c3d4e5f6g7h8i9j0k1l2m3n4,pending
NEU172026_2026-08-01,NEU172026,Phát triển chương trình đào tạo từ xa theo hướng tích hợp trong bối cảnh chuyển đổi số giáo dục,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"education,online,digital",https://neu.edu.vn,,neu,17b2c3d4e5f6g7h8i9j0k1l2m3n4o5,pending
NEU182026_2026-08-01,NEU182026,Innovation for Hidden champion model in new era of digital business,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"innovation,business,model",https://neu.edu.vn,,neu,18c3d4e5f6g7h8i9j0k1l2m3n4o5p6,pending
NEU192026_2026-08-01,NEU192026,International Conference on Educational Technology and Artificial Intelligence,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"education,ai,technology",https://neu.edu.vn,,neu,19d4e5f6g7h8i9j0k1l2m3n4o5p6q7,pending
NEU202026_2026-08-01,NEU202026,Hội thảo quốc tế dành cho các giảng viên trẻ ICYREB 2026,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"research,economics,young",https://neu.edu.vn,,neu,20e5f6g7h8i9j0k1l2m3n4o5p6q7r8,pending
NEU212026_2026-08-01,NEU212026,Áp dụng mô hình kinh doanh “Dịch vụ năng lượng - EaaS” cho ngành điện Việt Nam trong bối cảnh đạt mục tiêu Net zero năm 2050,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"energy,netzero,economy",https://neu.edu.vn,,neu,21f6g7h8i9j0k1l2m3n4o5p6q7r8s9,pending
NEU222026_2026-08-01,NEU222026,Cơ chế chính sách thúc đẩy hội nhập quốc tế về khoa học công nghệ và đổi mới sáng tạo của Việt Nam hiện nay,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"policy,innovation,global",https://neu.edu.vn,,neu,22g7h8i9j0k1l2m3n4o5p6q7r8s9t0,pending
NEU232026_2026-08-01,NEU232026,Nâng cao năng lực ngoại ngữ cho sinh viên nhằm đưa tiếng Anh trở thành ngôn ngữ thứ hai trong Đại học Kinh tế Quốc dân,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-08-01,"education,language,students",https://neu.edu.vn,,neu,23h8i9j0k1l2m3n4o5p6q7r8s9t0u1,pending
NEU242026_2026-09-01,NEU242026,Quán triệt / vận dụng nội dung văn kiện Đại hội XIV Đảng Cộng sản Việt Nam vào giảng dạy/ học tập/ nghiên cứu các môn lý luận chính trị,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-09-01,"politics,education,policy",https://neu.edu.vn,,neu,24i9j0k1l2m3n4o5p6q7r8s9t0u1v2,pending
NEU252026_2026-09-01,NEU252026,Hội thảo khoa học quốc tế thường niên lần 8 về Du lịch, Giải trí và Công nghiệp sáng tạo,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-09-01,"tourism,creative,industry",https://neu.edu.vn,,neu,25j0k1l2m3n4o5p6q7r8s9t0u1v2w3,pending
NEU262026_2026-09-01,NEU262026,Chính sách và thực hành ESG tại Việt Nam trong bối cảnh chuyển đổi xanh và Net Zero,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-09-01,"esg,green,policy",https://neu.edu.vn,,neu,26k1l2m3n4o5p6q7r8s9t0u1v2w3x4,pending
NEU272026_2026-09-01,NEU272026,Hội thảo Khoa học quốc gia kỷ niệm 70 năm thành lập Đại học Kinh tế Quốc dân và tổng kết 40 năm đổi mới,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-09-01,"economics,development,policy",https://neu.edu.vn,,neu,27l2m3n4o5p6q7r8s9t0u1v2w3x4y5,pending
NEU282026_2026-10-01,NEU282026,Hội thảo quốc tế dành cho các sinh viên SR-ICYREB 2026,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-10-01,"student,research,economics",https://neu.edu.vn,,neu,28m3n4o5p6q7r8s9t0u1v2w3x4y5z6,pending
NEU292026_2026-10-01,NEU292026,Ứng dụng AI trong ngành bảo hiểm: Thực trạng và định hướng tương lai,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-10-01,"ai,insurance,technology",https://neu.edu.vn,,neu,29n4o5p6q7r8s9t0u1v2w3x4y5z6a7,pending
NEU302026_2026-11-01,NEU302026,Bất ổn kinh tế toàn cầu và đối sách của hệ thống tài chính Việt Nam,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"finance,economics,global",https://neu.edu.vn,,neu,30o5p6q7r8s9t0u1v2w3x4y5z6a7b8,pending
NEU312026_2026-11-01,NEU312026,Hệ thống thông tin quản lý trong kỷ nguyên số: Nền tảng cho đổi mới và phát triển bền vững,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"information systems,digital,innovation",https://neu.edu.vn,,neu,31p6q7r8s9t0u1v2w3x4y5z6a7b8c9,pending
NEU322026_2026-11-01,NEU322026,Thúc đẩy Kinh doanh Chuỗi Nông sản – Thực phẩm Minh bạch, Trách nhiệm và Bền vững,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"agriculture,supply chain,sustainability",https://neu.edu.vn,,neu,32q7r8s9t0u1v2w3x4y5z6a7b8c9d0,pending
NEU332026_2026-11-01,NEU332026,Giáo dục đại học trong kỷ nguyên toàn cầu hóa, trí tuệ nhân tạo và tự động hóa,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"education,ai,global",https://neu.edu.vn,,neu,33r8s9t0u1v2w3x4y5z6a7b8c9d0e1,pending
NEU342026_2026-11-01,NEU342026,Vai trò của trí thức trẻ trong nền kinh tế số - Lần thứ VII,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"youth,digital,economy",https://neu.edu.vn,,neu,34s9t0u1v2w3x4y5z6a7b8c9d0e1f2,pending
NEU352026_2026-11-01,NEU352026,Pháp luật kinh tế Việt Nam trong kỷ nguyên số và chuyển đổi xanh,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"law,economics,green",https://neu.edu.vn,,neu,35t0u1v2w3x4y5z6a7b8c9d0e1f2g3,pending
NEU362026_2026-11-01,NEU362026,Công tác chăm sóc người học trong bối cảnh chuyển đổi số,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"education,students,digital",https://neu.edu.vn,,neu,36u1v2w3x4y5z6a7b8c9d0e1f2g3h4,pending
NEU372026_2026-11-01,NEU372026,Khả năng chống chịu của các chủ thể kinh tế trước các cú sốc trong bối cảnh mới: Bằng chứng từ dữ liệu và phân tích thống kê,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"economics,data,analysis",https://neu.edu.vn,,neu,37v2w3x4y5z6a7b8c9d0e1f2g3h4i5,pending
NEU382026_2026-11-01,NEU382026,The Rise of AI Agents: Redefining Enterprise Autonomy in 2026,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"ai,enterprise,automation",https://neu.edu.vn,,neu,38w3x4y5z6a7b8c9d0e1f2g3h4i5j6,pending
NEU392026_2026-11-01,NEU392026,The 9th International Conference on Contemporary Issues in Economics, Management and Business (9th CIEMB 2026),"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"economics,management,business",https://neu.edu.vn,,neu,39x4y5z6a7b8c9d0e1f2g3h4i5j6k7,pending
NEU402026_2026-11-01,NEU402026,Các định hướng và giải pháp phát triển thị trường bất động sản nhằm thúc đẩy phát triển kinh tế bền vững ở Việt Nam đến năm 2030,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"real estate,economics,policy",https://neu.edu.vn,,neu,40y5z6a7b8c9d0e1f2g3h4i5j6k7l8,pending
NEU412026_2026-11-01,NEU412026,Các vấn đề kinh doanh mới nổi – ICECH lần thứ 14,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"business,innovation,trends",https://neu.edu.vn,,neu,41z6a7b8c9d0e1f2g3h4i5j6k7l8m9,pending
NEU422026_2026-11-01,NEU422026,Kinh doanh bền vững trong bối cảnh kinh tế mới,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"business,sustainability,economy",https://neu.edu.vn,,neu,42a7b8c9d0e1f2g3h4i5j6k7l8m9n0,pending
NEU432026_2026-11-01,NEU432026,Xu thế phát triển nhân lực các ngành của Viện Thương mại và Kinh tế quốc tế,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-11-01,"human resources,trade,economy",https://neu.edu.vn,,neu,43b8c9d0e1f2g3h4i5j6k7l8m9n0o1,pending
NEU442026_2026-12-01,NEU442026,The 9th International Conference on Finance, Accounting and Auditing (The 9th ICFAA 2026),"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-12-01,"finance,accounting,auditing",https://neu.edu.vn,,neu,44c9d0e1f2g3h4i5j6k7l8m9n0o1p2,pending
